Nt =   3863
LC of   212593538
    2387.911473    3411.942138    3391.624682
    2387.931906    3422.341113    3403.196805
    2387.952340    3417.900677    3398.308385
    2387.972774    3415.498374    3396.159609
    2387.993207    3425.645340    3406.691432
    2388.013641    3420.916768    3402.317582
    2388.034074    3421.826253    3404.837782
    2388.054508    3419.256430    3400.809899
    2388.074942    3418.586577    3399.949660
    2388.095375    3424.708370    3405.014273
    2388.115809    3412.852660    3392.145950
    2388.136242    3423.246004    3401.321004
    2388.156676    3426.253251    3402.967516
    2388.177110    3433.142334    3408.307376
    2388.197543    3426.738219    3402.677614
    2388.217977    3426.187318    3402.076996
    2388.238410    3418.969269    3397.619165
    2388.258844    3423.494759    3400.986719
    2388.279278    3424.840537    3402.331704
    2388.299711    3415.677916    3393.446798
    2388.320145            NaN            NaN
    2388.340578            NaN            NaN
    2388.361012    3433.957635    3408.346924
    2388.381446    3420.973579    3395.287756
    2388.401879    3406.259864    3381.428564
    2388.422313    3419.605895    3393.913627
    2388.442747    3423.893263    3396.173609
    2388.463180    3422.741330    3395.513419
    2388.483614    3428.180267    3401.996691
    2388.504047    3424.971219    3398.716781
    2388.524481    3423.210154    3398.264625
    2388.544914    3427.080699    3400.466519
    2388.565348    3425.665496    3398.584364
    2388.585782    3417.399354    3391.418729
    2388.606215    3414.740737    3387.425339
    2388.626649    3422.932571    3397.373851
    2388.647083    3430.561713    3405.353895
    2388.667516            NaN            NaN
    2388.687950    3423.060367    3396.703997
    2388.708383    3422.407135    3395.697855
    2388.728817    3435.833100    3408.537457
    2388.749251    3433.972666    3404.842981
    2388.769684    3414.298235    3385.833311
    2388.790118    3416.091587    3387.811590
    2388.810551    3427.706235    3401.385878
    2388.830985    3436.169954    3410.151585
    2388.851419            NaN            NaN
    2388.871852    3429.120583    3404.625759
    2388.892286    3433.946793    3409.359722
    2388.912719    3427.702067    3404.665553
    2388.933153    3422.049944    3398.267582
    2388.953587    3412.506728    3388.487477
    2388.974020            NaN            NaN
    2388.994454    3426.155283    3400.612293
    2389.014887    3413.332085    3387.023820
    2389.035321    3434.265760    3406.765961
    2389.055755    3412.040365    3384.067403
    2389.076188    3414.354708    3385.438773
    2389.096622    3419.540040    3392.656114
    2389.117055    3435.757938    3411.878479
    2389.137489    3424.640214    3401.357754
    2389.157923    3414.138829    3390.356245
    2389.178356    3418.472512    3395.852116
    2389.198790    3412.667199    3390.566566
    2389.219223    3422.891563    3400.302398
    2389.239657    3432.894204    3409.461681
    2389.260091    3414.870441    3393.257774
    2389.280524    3412.727885    3390.283234
    2389.300958    3434.970713    3413.136244
    2389.321391    3412.609040    3387.403732
    2389.341825    3415.767502    3391.338998
    2389.362259    3422.941496    3398.227387
    2389.382692    3420.471787    3395.345669
    2389.403126    3434.842339    3411.169614
    2389.423559    3417.780489    3394.864801
    2389.443993    3416.030136    3393.080263
    2389.464427    3417.942806    3396.816055
    2389.484860    3414.250212    3394.378000
    2389.505294    3417.633789    3397.414362
    2389.525727    3425.078902    3404.527936
    2389.546161    3419.636367    3397.294138
    2389.566595    3410.867573    3387.606580
    2389.587028    3422.519393    3399.302584
    2389.607462    3425.769892    3401.525461
    2389.627895    3428.311381    3402.718323
    2389.648329    3425.785120    3399.357324
    2389.668763    3424.681137    3397.938781
    2389.689196    3413.055587    3386.191948
    2389.709630    3438.028193    3410.902664
    2389.730064    3421.491969    3396.378727
    2389.750497    3424.246565    3399.588488
    2389.770931    3425.711679    3401.479281
    2389.791364    3411.696327    3388.004233
    2389.811798    3414.370981    3390.563235
    2389.832231            NaN            NaN
    2389.852665    3413.790647    3389.101543
    2389.873099    3425.199477    3399.515272
    2389.893532    3421.945361    3396.108073
    2389.913966    3427.228454    3402.214641
    2389.934400    3423.612368    3398.659830
    2389.954833    3422.988514    3397.173376
    2389.975267    3430.234029    3402.045650
    2389.995700    3424.789697    3396.147645
    2390.016134    3422.877903    3397.718805
    2390.036568    3420.201923    3395.089015
    2390.057001    3426.785346    3402.879833
    2390.077435    3425.048662    3401.563135
    2390.097868            NaN            NaN
    2390.118302    3418.141077    3398.364359
    2390.138736    3436.943903    3416.850616
    2390.159169    3411.552108    3390.159858
    2390.179603    3430.039824    3408.130113
    2390.200036    3423.352961    3400.948167
    2390.220470    3434.259711    3412.034083
    2390.240904    3413.816966    3390.912083
    2390.261337    3414.182283    3389.894577
    2390.281771            NaN            NaN
    2390.302204    3418.277595    3394.875466
    2390.322638    3422.220944    3400.964811
    2390.343072    3413.404625    3392.489349
    2390.363505    3415.081896    3392.667055
    2390.383939    3432.711864    3409.589398
    2390.404372    3425.208066    3403.326685
    2390.424806    3408.692326    3386.102716
    2390.445240    3426.338021    3404.049822
    2390.465673    3417.234832    3395.273983
    2390.486107    3421.595306    3398.041786
    2390.506540    3426.919029    3401.424906
    2390.526974    3421.410917    3395.363999
    2390.547408    3413.926247    3385.365519
    2390.567841    3427.516394    3398.957357
    2390.588275    3438.911765    3411.699743
    2390.608708    3409.980708    3381.072526
    2390.629142    3423.224136    3397.455195
    2390.649576    3434.702743    3408.687848
    2390.670009    3422.962526    3398.871683
    2390.690443    3419.747602    3396.102469
    2390.710877    3428.742336    3404.963880
    2390.731310    3424.302862    3401.164991
    2390.751744    3418.848127    3394.524727
    2390.772177    3427.766755    3401.491742
    2390.792611    3428.485982    3401.279674
    2390.813044    3439.434711    3410.797875
    2390.833478    3425.505231    3398.036314
    2390.853912    3438.687456    3407.877133
    2390.874345    3415.536341    3385.280983
    2390.894779    3442.901720    3413.023240
    2390.915212    3430.951022    3401.792567
    2390.935646    3418.633765    3389.665531
    2390.956080    3436.657293    3408.419066
    2390.976513    3415.536776    3388.406240
    2390.996947    3417.432305    3389.641139
    2391.017381    3425.243624    3399.433053
    2391.037814    3416.081775    3388.917819
    2391.058248    3430.779248    3404.605018
    2391.078681    3428.931541    3402.317707
    2391.099115    3419.799022    3391.807035
    2391.119549    3419.918854    3391.953995
    2391.139982    3428.843149    3398.349626
    2391.160416    3418.379784    3386.966002
    2391.180849    3426.953667    3394.364844
    2391.201283    3430.327184    3396.923305
    2391.221716    3444.707235    3413.150187
    2391.242150    3426.625697    3397.391066
    2391.262584    3420.596958    3391.389792
    2391.283017    3420.578263    3391.022514
    2391.303451    3422.879527    3393.343048
    2391.323885    3437.563259    3406.871806
    2391.344318    3424.624870    3396.267515
    2391.364752    3417.737575    3387.025028
    2391.385185    3423.855917    3393.815501
    2391.405619    3431.291078    3402.722064
    2391.426053    3426.686527    3396.454931
    2391.446486    3418.344453    3388.176282
    2391.466920    3452.987692    3417.890073
    2391.487353    3430.121066    3396.548178
    2391.507787    3432.248654    3398.882742
    2391.528221    3419.348485    3387.300200
    2391.548654    3425.454142    3395.294285
    2391.569088    3433.103313    3403.477318
    2391.589521            NaN            NaN
    2391.609955    3432.394043    3402.856413
    2391.630389    3420.733853    3390.432269
    2391.650822    3431.674651    3403.903183
    2391.671256    3427.134257    3398.430874
    2391.691689    3434.038175    3403.930226
    2391.712123    3430.905067    3399.956001
    2391.732557            NaN            NaN
    2391.752990    3431.257705    3398.781125
    2391.773424    3428.257212    3393.823836
    2391.793857    3430.077328    3396.107540
    2391.814291    3416.883718    3382.396452
    2391.834725    3411.773770    3378.560997
    2391.855158    3435.635497    3404.583694
    2391.875592    3426.396330    3396.378460
    2391.896025            NaN            NaN
    2391.916459    3421.194269    3391.198726
    2391.936893    3426.105232    3394.072307
    2391.957326    3434.108994    3402.782403
    2391.977760    3427.785542    3398.612439
    2391.998194    3428.980975    3399.365200
    2392.018627    3421.557766    3390.826774
    2392.039061    3424.487322    3391.823550
    2392.059494    3423.650032    3390.955981
    2392.079928    3420.631061    3385.943437
    2392.100361    3432.727147    3399.710800
    2392.120795    3430.537957    3396.532152
    2392.141229    3435.935270    3403.315727
    2392.161662    3430.567471    3397.671472
    2392.182096    3431.923437    3398.624881
    2392.202529    3418.903356    3387.733105
    2392.222963    3415.786419    3386.308207
    2392.243397            NaN            NaN
    2392.263830    3431.196346    3398.419612
    2392.284264    3429.641923    3398.574141
    2392.304698    3431.411391    3400.447151
    2392.325131    3422.579324    3392.129834
    2392.345565    3423.347760    3390.662144
    2392.365998    3419.208114    3385.044355
    2392.386432    3425.298822    3390.566088
    2392.406866    3421.340421    3385.816322
    2392.427299    3422.730032    3389.252952
    2392.447733    3425.854144    3394.469727
    2392.468166    3432.533710    3402.343091
    2392.488600    3424.788525    3396.684991
    2392.509034    3429.619531    3400.572905
    2392.529467    3417.627505    3389.592697
    2392.549901    3429.282456    3401.276284
    2392.570334    3428.086224    3400.850879
    2392.590768    3431.599942    3402.954165
    2392.611202    3431.796364    3402.698434
    2392.631635    3432.866124    3402.512485
    2392.652069    3446.239746    3415.258199
    2392.672502    3433.550510    3402.955337
    2392.692936    3409.951109    3380.540020
    2392.713370    3411.188508    3381.602825
